"Table S1. Metadata of 122,680 filtered Salmonella enterica genomes."			
Genome ID	Serotype	Isolation Source	Country
GCA_011412075.1	null	Animals	Canada
GCA_011412315.1	null	Animals	Canada
GCA_011412455.1	null	Animals	Canada
GCA_011412475.1	null	Animals	Canada
GCA_011412555.1	null	Animals	Canada
GCA_011421885.1	null	Animals	Canada
GCA_011422885.1	null	Animals	Canada
GCA_011423325.1	null	Animals	Canada
GCA_011423525.1	null	Animals	Canada
GCA_011423605.1	null	Animals	Canada
GCA_011423905.1	null	Animals	Canada
GCA_011424145.1	null	Animals	Canada
GCA_011424155.1	null	Animals	Canada
GCA_011426745.1	null	Animals	Canada
GCA_011427025.1	null	Animals	Canada
GCA_011427305.1	null	Animals	Canada
GCA_011427345.1	null	Animals	Canada
GCA_011427405.1	null	Animals	Canada
GCA_011427445.1	null	Animals	Canada
GCA_011427465.1	null	Animals	Canada
GCA_011427485.1	null	Animals	Canada
GCA_011427635.1	null	Animals	Canada
GCA_011427785.1	null	Animals	Canada
GCA_011427895.1	null	Animals	Canada
GCA_011428675.1	null	Animals	Canada
GCA_000625415.2	Enteritidis	Animals	Canada_Ontario
GCA_000625435.2	Enteritidis	Animals	Canada_Ontario
GCA_003875495.1	Enteritidis	Animals	United Kingdom
GCA_003887635.1	Salmonella Unnamed	Animals	United Kingdom
GCA_003890235.1	Enteritidis	Animals	United Kingdom
GCA_003890815.1	Livingstone	Animals	United Kingdom
GCA_003897575.1	Enteritidis	Animals	United Kingdom
GCA_003900415.1	Enteritidis	Animals	United Kingdom
GCA_003901715.1	Tennessee	Animals	United Kingdom
GCA_004253765.1	Enteritidis	Animals	United Kingdom
GCA_004256985.1	Enteritidis	Animals	United Kingdom
GCA_004258525.1	Enteritidis	Animals	United Kingdom
GCA_004261365.1	Typhimurium	Animals	United Kingdom
GCA_004263555.1	Typhimurium	Animals	United Kingdom
GCA_004265425.1	Enteritidis	Animals	United Kingdom
GCA_004267335.1	Typhimurium	Animals	United Kingdom
GCA_004271145.1	Salmonella Unnamed	Animals	United Kingdom
GCA_004271385.1	Tennessee	Animals	United Kingdom
GCA_004272285.1	Enteritidis	Animals	United Kingdom
GCA_004273685.1	Typhimurium	Animals	United Kingdom
GCA_004280975.1	Enteritidis	Animals	United Kingdom
GCA_005154105.1	Typhimurium	Animals	Canada
GCA_005973565.1	null	Animals	USA_MI
GCA_005994105.1	null	Animals	USA_MI
GCA_006060555.1	null	Animals	USA_OH
GCA_006370495.1	null	Animals	USA_CA
GCA_006524935.1	4	Animals	Thailand
GCA_006525075.1	4	Animals	Thailand
GCA_006525115.1	4	Animals	Thailand
GCA_006525845.1	4	Animals	Thailand
GCA_006525875.1	4	Animals	Thailand
GCA_006525995.1	4	Animals	Thailand
GCA_006756225.1	Typhimurium	Animals	United Kingdom
GCA_006756385.1	Enteritidis	Animals	United Kingdom
GCA_006798085.1	Typhimurium	Animals	United Kingdom
GCA_006916635.1	Enteritidis	Animals	United Kingdom
GCA_006926915.1	null	Animals	USA_MI
GCA_006947975.1	null	Animals	USA_MI
GCA_006982345.1	Tennessee	Animals	United Kingdom
GCA_006982885.1	Enteritidis	Animals	United Kingdom
GCA_006984785.1	Senftenberg	Animals	United Kingdom
GCA_006985165.1	Enteritidis	Animals	United Kingdom
GCA_006985665.1	Enteritidis	Animals	United Kingdom
GCA_006985705.1	Enteritidis	Animals	United Kingdom
GCA_006985725.1	Tennessee	Animals	United Kingdom
GCA_006985925.1	Enteritidis	Animals	United Kingdom
GCA_006986005.1	Enteritidis	Animals	United Kingdom
GCA_006986045.1	Enteritidis	Animals	United Kingdom
GCA_006986425.1	Enteritidis	Animals	United Kingdom
GCA_006986825.1	Overschie	Animals	United Kingdom
GCA_006986885.1	Enteritidis	Animals	United Kingdom
GCA_006989445.1	Enteritidis	Animals	United Kingdom
GCA_007014385.1	Enteritidis	Animals	United Kingdom
GCA_007015265.1	Enteritidis	Animals	United Kingdom
GCA_007018805.1	Enteritidis	Animals	United Kingdom
